gender,age
male,21
Male,23
female,21
Female,22
male ,22
female ,21
zhe,22
Woman,21
mlae,21
man,21
,20
hir,22
f2m,20
male,21
Male,21
female,22
Female,20
male ,22
female ,22
zhe,21
Woman,22
mlae,20
man,21
,20
male,22
Male,22
female,20
Female,21
male ,21
female ,23
zhe,20
Woman,20
male,21
Male,22
female,21
Female,22
male ,22
female ,20
zhe,21
Woman,21
male,20
Male,20
female,21
Female,22
male ,21
female ,23
zhe,22
Woman,21
male,20
Male,23
female,21
Female,23
male ,23
female ,21
zhe,22
Woman,22
male,22
Male,22
female,23
Female,22
male ,22
female ,20
zhe,20
Woman,21
male,20
Male,21
female,21
Female,22
male ,21
female ,22
zhe,20
Woman,23
